pickup_point,latitude,longitude,employee_count,bus_number
0.0,39.9773142,32.56137335,9.0,47
1.0,39.968236808333344,32.59628807500001,12.0,47
2.0,39.9893272,32.50898560000001,4.0,47
3.0,39.96920623846154,32.58810056923077,3.0,47
4.0,39.95579705,32.7085703,24.0,3
5.0,39.95267153333332,32.59919049166667,2.0,47
6.0,40.0051373,32.51864033333333,24.0,3
7.0,39.9781204,32.8951958,4.0,47
8.0,39.95599149655172,32.59417533448276,5.0,47
9.0,39.97555719,32.6109714,2.0,23
10.0,39.98236265714286,32.84518421428572,28.0,16
11.0,39.9888112,32.84940705,3.0,23
12.0,39.85444759999997,32.42407400000001,3.0,23
13.0,39.9603589,32.742676,8.0,23
14.0,39.95187428333334,32.58401081666667,7.0,23
15.0,39.95195105833334,32.61052496666667,2.0,23
16.0,39.8921541,32.7016155,2.0,23
17.0,39.997925825,32.87568705,6.0,23
18.0,39.8970734,32.691308,3.0,23
19.0,39.94397538,32.65210927333334,4.0,23
20.0,39.9548671125,32.56263095416667,15.0,45
21.0,39.9782679,32.7299384,2.0,17
22.0,39.99389486666667,32.86989726666666,2.0,17
23.0,39.94128713333333,32.61553481666667,5.0,17
24.0,39.984557466666665,32.6134337,3.0,17
25.0,40.000424933333335,32.52719588333333,9.0,17
26.0,39.971939124,32.575494332000005,12.0,45
27.0,39.8801783,32.67473835,4.0,17
28.0,39.989998475,32.861102275,4.0,17
29.0,39.97503606666667,32.83201913333333,3.0,17
30.0,39.94585164166666,32.59426478333333,11.0,6
31.0,40.013207342857136,32.534712657142855,3.0,14
32.0,39.95047803333334,32.590659966666664,2.0,14
33.0,39.99673315,32.6518223,3.0,14
34.0,39.991934066666666,32.804720466666666,18.0,6
35.0,39.936264725,32.613588225,4.0,14
36.0,39.93940383636363,32.593770354545455,5.0,14
37.0,39.9931643,32.6429933,13.0,6
38.0,39.97938499999999,32.60306326,3.0,14
39.0,39.99703735,32.51718746666666,4.0,14
40.0,39.95524408666667,32.56902076000001,12.0,52
41.0,39.95944426666667,32.574970604166666,2.0,14
42.0,39.96372655,32.5735374375,2.0,52
43.0,39.94744739090909,32.65460207272727,7.0,52
44.0,39.93159791818182,32.611344836363635,6.0,52
45.0,39.96737196666666,32.58398408888889,5.0,52
46.0,39.96624706153846,32.60051030769231,22.0,27
47.0,39.94516983,32.646743,8.0,52
48.0,39.98912468571429,32.57345106428571,2.0,24
49.0,40.00496268888889,32.53116658888889,2.0,24
50.0,39.9394262625,32.6539887125,18.0,27
51.0,39.8640858,32.6499307,29.0,19
52.0,39.95543834666667,32.58651461333333,5.0,24
53.0,39.95794663333333,32.556165433333334,4.0,24
54.0,40.0099325,32.5011463,2.0,24
55.0,39.96188608333333,32.726845383333334,4.0,24
56.0,39.941841415384616,32.644483715384624,17.0,32
57.0,39.954608175,32.61427448333333,9.0,25
58.0,39.95062209999999,32.5699486,6.0,25
59.0,39.950336452631575,32.57493505263158,24.0,32
60.0,40.01982444285714,32.52761785714286,3.0,25
61.0,39.97114950909091,32.58359701818182,3.0,25
62.0,39.8139783,32.6560016,6.0,25
63.0,39.88368405,32.798575549999995,11.0,25
64.0,39.98337614999999,32.57903435714286,3.0,25
65.0,39.93235344285714,32.6495986,24.0,42
66.0,40.00370818,32.87563014,2.0,25
67.0,39.94544285882355,32.58588997058823,18.0,1
68.0,39.96496201111111,32.5887873,11.0,1
69.0,39.93842635,32.6207694,3.0,28
70.0,39.96529553076924,32.59347034615384,2.0,28
71.0,39.94583434444445,32.566675944444434,2.0,28
72.0,39.93392911666667,32.59329371666667,9.0,28
73.0,39.9575834,32.8579616,5.0,28
74.0,39.9723801,32.655280366666666,3.0,28
75.0,39.932722175,32.8588101,4.0,28
76.0,39.999404266666666,32.63128686666666,14.0,35
77.0,39.944681825,32.576760766666666,27.0,20
78.0,39.975999425,32.631469075,13.0,35
79.0,39.9804743,32.79751745,6.0,28
80.0,39.99244723076924,32.58304352307692,2.0,28
81.0,40.0059462,32.64552453333334,2.0,28
82.0,39.95456066428572,32.573368228571425,1.0,13
83.0,40.015347187500005,32.526600475,2.0,13
84.0,39.93131681666667,32.61996201666667,13.0,35
85.0,39.958654645454544,32.598737254545455,2.0,13
86.0,39.9875836,32.58185843333333,2.0,13
87.0,39.85176455,32.85829795,3.0,13
88.0,39.83785335,32.535399,8.0,13
89.0,39.99232462222222,32.56331205555556,2.0,13
90.0,39.9888858,32.65741979999999,3.0,13
91.0,39.99633815,32.582466475000004,2.0,13
92.0,39.8752019,32.7084065,6.0,13
93.0,39.9518037625,32.664960975,13.0,43
94.0,39.96570485,32.789302150000005,3.0,51
95.0,39.9795935,32.61296525,13.0,43
96.0,39.95495738571429,32.57889674285714,2.0,51
97.0,39.99851714,32.59689628,2.0,51
98.0,39.9633423,32.6136146,2.0,51
99.0,39.95537165,32.604184700000005,2.0,51
100.0,39.94557703333333,32.6318813,3.0,51
101.0,39.95126228181818,32.56508008181818,4.0,51
102.0,39.98137786,32.6414407,10.0,34
103.0,40.02273260769231,32.52247526153846,15.0,34
104.0,39.9702661,32.63615715,4.0,51
105.0,39.95968834642857,32.59115514285714,2.0,51
106.0,39.97481528,32.644160680000006,2.0,4
107.0,39.991254700000006,32.61772306666666,3.0,4
108.0,39.98874203333333,32.587483516666666,2.0,4
109.0,40.01877629285714,32.53202920714286,5.0,4
110.0,39.973761,32.604385,3.0,4
111.0,39.9512065375,32.6421758875,3.0,4
112.0,39.99918,32.8920229,3.0,4
113.0,39.99335296666666,32.556245,13.0,40
114.0,39.95924881818182,32.56618978636363,3.0,4
115.0,40.0105421,32.51274293333333,8.0,4
116.0,39.93204664,32.63577612,3.0,4
117.0,40.0175307,32.53893105,15.0,40
118.0,39.97901426666666,32.59219686666666,14.0,40
119.0,39.9727601,32.616999675,11.0,38
120.0,39.94897649090908,32.62799852727273,3.0,38
121.0,39.9447982,32.8912256,10.0,38
122.0,39.9933038,32.575261600000005,8.0,38
123.0,39.93494526,32.65695212,12.0,38
124.0,39.97050725,32.5568121,2.0,12
125.0,39.97028523,32.57056719,2.0,12
126.0,39.98745808,32.62709076,6.0,12
127.0,39.957323,32.8750852,7.0,12
128.0,39.9672597,32.6438754,12.0,12
129.0,39.99861412499999,32.602426162499995,2.0,12
130.0,39.95271181538462,32.6314313076923,6.0,12
131.0,39.9668566,32.65093055,5.0,12
132.0,39.99358804166666,32.59440371666667,5.0,12
133.0,40.008283383333335,32.84586936666667,3.0,22
134.0,39.94381903333333,32.603977566666664,4.0,22
135.0,40.003933175,32.5239648,9.0,22
136.0,39.94992338461539,32.63407273846154,3.0,22
137.0,39.9853024375,32.563615625,2.0,22
138.0,39.9878509,32.598078380000004,6.0,22
139.0,39.88024660000001,32.69736880000001,3.0,22
140.0,39.9104081,32.7637933,4.0,22
141.0,39.8346129,32.6051351,8.0,22
142.0,39.8570265,32.8314103,2.0,22
143.0,39.95023605555556,32.647820833333334,2.0,2
144.0,39.9747719,32.6921729,1.0,2
145.0,39.939395350000005,32.63830245,3.0,2
146.0,39.94077795,32.66345345,6.0,2
147.0,40.00938478333334,32.52515066666666,8.0,2
148.0,39.94855549,32.619455310000006,8.0,2
149.0,40.00620223333333,32.50787173333333,6.0,2
150.0,40.002028125,32.611548175,5.0,2
151.0,39.9708711,32.8962847,1.0,2
152.0,39.999400566666665,32.61795453333333,3.0,2
153.0,39.99517222,32.52337792,25.0,18
154.0,40.0096212,32.6230276,1.0,44
155.0,39.9962033,32.86268135,4.0,44
156.0,39.93310043333333,32.89302596666666,14.0,30
157.0,39.98504274,32.56922076,2.0,44
158.0,39.95956176666666,32.582004866666665,9.0,44
159.0,39.94589556666666,32.60990183333334,1.0,44
160.0,40.01256501666667,32.5167982,7.0,44
161.0,39.9635309,32.57800412,15.0,30
162.0,39.9464777,32.66649764,5.0,44
163.0,39.9418175,32.56960162,1.0,44
164.0,39.98119875,32.75571655,1.0,39
165.0,39.9753883,32.806539,1.0,39
166.0,39.94612580909091,32.636688945454544,1.0,39
167.0,39.9013082,32.6262258,1.0,39
168.0,39.9287212,32.8766602,1.0,39
169.0,39.92479055,32.89992175,11.0,8
170.0,39.9672677,32.7843182,1.0,39
171.0,39.99712415,32.8137688,1.0,39
172.0,39.9426598,32.5875379,2.0,39
173.0,39.9633488,32.6988147,2.0,39
174.0,39.9920081,32.73174,1.0,39
175.0,40.01088726666667,32.53006376666667,1.0,39
176.0,39.9931767,32.61144186666667,1.0,39
177.0,40.0029586,32.60019455,2.0,48
178.0,39.9122078,32.8988819,1.0,48
179.0,39.96609765,32.8031725,1.0,48
180.0,40.0103366,32.6616518,1.0,48
181.0,39.94229735,32.89847605,1.0,48
182.0,39.962490075,32.602767175,1.0,48
183.0,39.933426075,32.64070205,1.0,48
184.0,40.00693308,32.868536240000005,2.0,48
185.0,39.85932255,32.64264395,1.0,48
186.0,39.8778105,32.8211999,2.0,48
187.0,40.01861995,32.8649978,1.0,48
188.0,39.991231975000005,32.8868511,2.0,48
189.0,39.97796505,32.816129325,14.0,50
190.0,39.88861500000001,32.618486866666665,1.0,26
191.0,40.0005267,32.9024466,2.0,26
192.0,39.890877,32.819762,5.0,26
193.0,39.94919745,32.560102,10.0,26
194.0,39.9206258,32.9135937,1.0,26
195.0,39.8451842,32.9212265,1.0,11
196.0,39.9505352,32.87942605,1.0,11
197.0,40.00322098,32.88499018,1.0,11
198.0,39.9750187,32.7121037,1.0,11
199.0,39.98143493333333,32.7081253,1.0,11
200.0,40.00882713333333,32.85411643333333,4.0,11
201.0,39.96962475,32.93905395,2.0,11
202.0,39.986385866666666,32.60742523333334,2.0,11
203.0,39.91602465,32.8565208,2.0,11
204.0,39.9718485,32.78737410000001,1.0,11
205.0,39.95155595,32.72432435,1.0,11
206.0,39.90178825,32.854798849999995,2.0,37
207.0,39.7805245,32.7181375,3.0,37
208.0,40.0140001,32.8097661,2.0,37
209.0,40.037054366666666,32.767254400000006,5.0,37
210.0,39.900561,32.6447001,5.0,37
211.0,39.9537675,32.7589733,1.0,37
212.0,39.91625415,32.9377748,4.0,37
213.0,39.938024233333344,32.580746733333335,1.0,37
214.0,39.9613084,32.93786634999999,4.0,37
215.0,39.9692508,32.809725,1.0,37
216.0,39.9798698,32.6239244,7.0,5
217.0,39.91005733333333,32.869391799999995,1.0,49
218.0,39.9300463,32.6023084,11.0,5
219.0,39.8945662,32.7992532,1.0,49
220.0,39.962468,32.6914019,2.0,49
221.0,39.95754495,32.793195600000004,1.0,49
222.0,39.997107766666666,32.8507308,5.0,49
223.0,39.9867988,32.7847733,2.0,49
224.0,39.976402,32.78000900000001,2.0,49
225.0,39.9124056,33.0563914,1.0,49
226.0,39.889131,32.88623,1.0,49
227.0,39.9790306,32.7211374,2.0,49
228.0,40.009903925,32.873510475,3.0,21
229.0,39.9120322,32.9114296,6.0,21
230.0,39.9743288,32.8520302,1.0,21
231.0,39.9928663,32.7096666,3.0,21
232.0,39.938947,32.8829176,11.0,46
233.0,40.0136775,32.86302975,1.0,21
234.0,39.96996116666667,32.72975426666667,4.0,21
235.0,39.967378700000005,32.87189896666666,1.0,21
236.0,39.82813885,32.71525825,2.0,21
237.0,39.95745295,32.836019449999995,13.0,46
238.0,39.999656075,32.840542675,10.0,46
239.0,39.92711645,32.88721185,2.0,21
240.0,39.99442519999999,32.7233261,1.0,31
241.0,40.01810283333333,32.85187236666667,3.0,31
242.0,39.9022497,32.7049775,2.0,31
243.0,39.95484570000001,32.5411368,24.0,9
244.0,39.9803596,32.6573743,19.0,9
245.0,39.9283587,32.5803981,6.0,31
246.0,40.01862623333333,32.5117187,1.0,31
247.0,40.0190344,32.3107517,1.0,31
248.0,39.98353725,32.85950915,1.0,31
249.0,39.9558759,32.72930905,1.0,31
250.0,39.9819781,32.6786008,4.0,31
251.0,39.8571568,32.7237843,1.0,31
252.0,39.966891366666665,32.658775133333336,1.0,31
253.0,39.9742659,32.9119703,1.0,31
254.0,39.9703578,32.7053834,1.0,31
255.0,39.9283075,32.5712101,1.0,0
256.0,39.9947425,32.8230541,47.0,9
257.0,40.0321634,32.8850429,1.0,0
258.0,40.01833,32.5499,3.0,0
259.0,39.8612552,32.541087,3.0,0
260.0,40.0482492,32.8426355,2.0,0
261.0,40.0394137,32.8454274,1.0,0
262.0,39.97579505,32.88561125,11.0,0
263.0,39.9805101,32.8316829,4.0,0
264.0,39.8055024,32.5655549,1.0,0
265.0,39.9572589,32.6475256,1.0,29
266.0,39.9286299,32.644418466666664,2.0,29
267.0,39.88099034999999,32.74948965,1.0,29
268.0,39.9995568,32.5570715,2.0,29
269.0,40.010691,32.90283305,1.0,29
270.0,39.90781295000001,32.98035815,1.0,29
271.0,39.9581957,32.9634852,1.0,29
272.0,39.99940463333333,32.82883796666667,5.0,29
273.0,39.8908614,32.83511643333333,2.0,29
